date,product_id,customer_id,quantity,unit_price,total_amount,region,sales_rep
2024-01-15,P001,C001,5,29.99,149.95,North,John Smith
2024-01-15,P002,C002,2,45.50,91.00,South,Jane Doe
2024-01-16,P003,C003,1,120.00,120.00,East,Bob Johnson
2024-01-16,P001,C004,3,29.99,89.97,West,Alice Brown
2024-01-17,P004,C005,7,15.25,106.75,North,John Smith
2024-01-17,P002,C006,4,45.50,182.00,South,Jane Doe
2024-01-18,P005,C007,2,78.99,157.98,East,Bob Johnson
2024-01-18,P003,C008,1,120.00,120.00,West,Alice Brown
2024-01-19,P001,C009,6,29.99,179.94,North,John Smith
2024-01-19,P004,C010,5,15.25,76.25,South,Jane Doe
2024-01-20,P002,C011,3,45.50,136.50,East,Bob Johnson
2024-01-20,P005,C012,1,78.99,78.99,West,Alice Brown
